Employee #,User Name,Password,Last Name,First Name,Position,Department,Role
1,MGarcia1,blue22,Garcia,Manuel III,Chief Executive Officer,Corporate,Employee
2,ALim2,sun789,Lim,Antonio,Chief Operating Officer,Corporate,Employee
3,BAquino3,apple23,Aquino,Bianca Sofia,Chief Finance Officer,Corporate,Employee
4,IReyes4,cat123,Reyes,Isabella,Chief Marketing Officer,Corporate,Employee
5,EHernandez5,dog456,Hernandez,Eduard,IT Operations and Systems,IT,Employee
6,AVillanueva6,moon789,Villanueva,Andrea Mae,HR Manager,HR,Admin
7,BSanJose7,bird123,San Jose,Brad,HR Team Leader,HR,Admin
8,ARomualdez8,ocean45,Romualdez,Alice,HR Rank and File,HR,Admin
9,RAtienza9,tree678,Atienza,Rosie,HR Rank and File,HR,Admin
10,RAlvaro10,lake901,Alvaro,Roderick,Accounting Head,Accounting,Employee
11,ASalcedo11,book234,Salcedo,Anthony,Payroll Manager,Payroll,Admin
12,JLopez12,pen567,Lopez,Josie,Payroll Team Leader,Payroll,Admin
13,MFarala13,sky890,Farala,Martha,Payroll Rank and File,Payroll,Admin
14,LMartinez14,cloud123,Martinez,Leila,Payroll Rank and File,Payroll,Admin
15,FRomualdez15,green456,Romualdez,Fredrick,Account Manager,Accounting,Employee
16,CMata16,red789,Mata,Christian,Account Team Leader,Accounting,Employee
17,SDeLeon17,yellow123,De Leon,Selena,Account Team Leader,Accounting,Employee
18,ASanJose18,smile456,San Jose,Allison,Account Rank and File,Accounting,Employee
19,CRosario19,laugh789,Rosario,Cydney,Account Rank and File,Accounting,Employee
20,MBautista20,happy123,Bautista,Mark,Account Rank and File,Accounting,Employee
21,DLazaro21,friend456,Lazaro,Darlene,Account Rank and File,Accounting,Employee
22,KDelosSantos22,love789,Delos Santos,Kolby,Account Rank and File,Accounting,Employee
23,VSantos23,peace123,Santos,Vella,Account Rank and File,Accounting,Employee
24,TDelRosario24,joy456,Del Rosario,Tomas,Account Rank and File,Accounting,Employee
25,JTolentino25,music789,Tolentino,Jacklyn,Account Rank and File,Accounting,Employee
26,PGutierrez26,dance123,Gutierrez,Percival,Account Rank and File,Accounting,Employee
27,GManalaysay27,sing456,Manalaysay,Garfield,Account Rank and File,Accounting,Employee
28,LVillegas28,dream789,Villegas,Lizeth,Account Rank and File,Accounting,Employee
29,CRamos29,hope123,Ramos,Carol,Account Rank and File,Accounting,Employee
30,EMaceda30,believe456,Maceda,Emelia,Account Rank and File,Accounting,Employee
31,DAguilar31,magic789,Aguilar,Delia,Account Rank and File,Accounting,Employee
32,JCastro32,star123,Castro,John Rafael,Sales & Marketing,Sales,Employee
33,CMartinez33,wish456,Martinez,Carlos Ian,Supply Chain and Logistics,Logistics,Employee
34,BSantos34,secret789,Santos,Beatriz,Customer Service and Relations,Customer Service,Employee
